match_description|match_date|match_venue|match_location|match_result|team_name|innings_order|batsman_name|dismissal_mode|runs|balls|fours|sixes
Mumbai Indians vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary|2018-04-07|Wankhede Stadium,|Mumbai|Chennai Super Kings won by 1 wkt|Mumbai Indians Innings|innings_1|Rohit Sharma (c)|c Rayudu b Watson|15|18|1|1
Mumbai Indians vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary|2018-04-07|Wankhede Stadium,|Mumbai|Chennai Super Kings won by 1 wkt|Mumbai Indians Innings|innings_1|Evin Lewis|lbw b D Chahar|0|2|0|0
Mumbai Indians vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary|2018-04-07|Wankhede Stadium,|Mumbai|Chennai Super Kings won by 1 wkt|Mumbai Indians Innings|innings_1|Ishan Kishan (wk)|c Mark Wood b Tahir|40|29|4|1
Mumbai Indians vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary|2018-04-07|Wankhede Stadium,|Mumbai|Chennai Super Kings won by 1 wkt|Mumbai Indians Innings|innings_1|Suryakumar Yadav|c Harbhajan b Watson|43|29|6|1
Mumbai Indians vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary|2018-04-07|Wankhede Stadium,|Mumbai|Chennai Super Kings won by 1 wkt|Mumbai Indians Innings|innings_1|Hardik Pandya|not out|22|20|2|0
Mumbai Indians vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary|2018-04-07|Wankhede Stadium,|Mumbai|Chennai Super Kings won by 1 wkt|Mumbai Indians Innings|innings_1|Krunal Pandya|not out|41|22|5|2
Mumbai Indians vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary|2018-04-07|Wankhede Stadium,|Mumbai|Chennai Super Kings won by 1 wkt|Chennai Super Kings Innings|innings_2|Shane Watson|c Lewis b Hardik Pandya|16|14|1|1
Mumbai Indians vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary|2018-04-07|Wankhede Stadium,|Mumbai|Chennai Super Kings won by 1 wkt|Chennai Super Kings Innings|innings_2|Ambati Rayudu|lbw b Markande|22|19|4|0
Mumbai Indians vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary|2018-04-07|Wankhede Stadium,|Mumbai|Chennai Super Kings won by 1 wkt|Chennai Super Kings Innings|innings_2|Suresh Raina|c Krunal Pandya b Hardik Pandya|4|6|0|0
Mumbai Indians vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary|2018-04-07|Wankhede Stadium,|Mumbai|Chennai Super Kings won by 1 wkt|Chennai Super Kings Innings|innings_2|Kedar Jadhav|not out|24|22|1|2
Mumbai Indians vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary|2018-04-07|Wankhede Stadium,|Mumbai|Chennai Super Kings won by 1 wkt|Chennai Super Kings Innings|innings_2|MS Dhoni (c & wk)|lbw b Markande|5|5|0|0
Mumbai Indians vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary|2018-04-07|Wankhede Stadium,|Mumbai|Chennai Super Kings won by 1 wkt|Chennai Super Kings Innings|innings_2|Ravindra Jadeja|c Suryakumar Yadav b Mustafizur|12|13|1|0
Mumbai Indians vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary|2018-04-07|Wankhede Stadium,|Mumbai|Chennai Super Kings won by 1 wkt|Chennai Super Kings Innings|innings_2|Dwayne Bravo|c Rohit b Bumrah|68|30|3|7
Mumbai Indians vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary|2018-04-07|Wankhede Stadium,|Mumbai|Chennai Super Kings won by 1 wkt|Chennai Super Kings Innings|innings_2|Deepak Chahar|st Ishan Kishan b Markande|0|1|0|0
Mumbai Indians vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary|2018-04-07|Wankhede Stadium,|Mumbai|Chennai Super Kings won by 1 wkt|Chennai Super Kings Innings|innings_2|Harbhajan Singh|c Bumrah b McClenaghan|8|5|1|0
Mumbai Indians vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary|2018-04-07|Wankhede Stadium,|Mumbai|Chennai Super Kings won by 1 wkt|Chennai Super Kings Innings|innings_2|Mark Wood|c Mustafizur b Hardik Pandya|1|3|0|0
Mumbai Indians vs Chennai Super Kings, 1st Match - Live Cricket Score, Commentary|2018-04-07|Wankhede Stadium,|Mumbai|Chennai Super Kings won by 1 wkt|Chennai Super Kings Innings|innings_2|Imran Tahir|not out|2|2|0|0
Kings XI Punjab vs Delhi Daredevils, 2nd Match - Live Cricket Score, Commentary|2018-04-08|Punjab Cricket Association IS Bindra Stadium,|Mohali|Kings XI Punjab won by 6 wkts|Delhi Daredevils Innings|innings_1|Colin Munro|lbw b Mujeeb|4|6|0|0
Kings XI Punjab vs Delhi Daredevils, 2nd Match - Live Cricket Score, Commentary|2018-04-08|Punjab Cricket Association IS Bindra Stadium,|Mohali|Kings XI Punjab won by 6 wkts|Delhi Daredevils Innings|innings_1|Gautam Gambhir (c)|run out (Mujeeb)|55|42|5|1
Kings XI Punjab vs Delhi Daredevils, 2nd Match - Live Cricket Score, Commentary|2018-04-08|Punjab Cricket Association IS Bindra Stadium,|Mohali|Kings XI Punjab won by 6 wkts|Delhi Daredevils Innings|innings_1|Shreyas Iyer|c Rahul b Axar|11|11|0|1
Kings XI Punjab vs Delhi Daredevils, 2nd Match - Live Cricket Score, Commentary|2018-04-08|Punjab Cricket Association IS Bindra Stadium,|Mohali|Kings XI Punjab won by 6 wkts|Delhi Daredevils Innings|innings_1|Vijay Shankar|c Axar b Mohit Sharma|13|13|0|0
Kings XI Punjab vs Delhi Daredevils, 2nd Match - Live Cricket Score, Commentary|2018-04-08|Punjab Cricket Association IS Bindra Stadium,|Mohali|Kings XI Punjab won by 6 wkts|Delhi Daredevils Innings|innings_1|Rishabh Pant (wk)|c Andrew Tye b Mujeeb|28|13|4|1
Kings XI Punjab vs Delhi Daredevils, 2nd Match - Live Cricket Score, Commentary|2018-04-08|Punjab Cricket Association IS Bindra Stadium,|Mohali|Kings XI Punjab won by 6 wkts|Delhi Daredevils Innings|innings_1|Rahul Tewatia|lbw b Ashwin|9|7|1|0
Kings XI Punjab vs Delhi Daredevils, 2nd Match - Live Cricket Score, Commentary|2018-04-08|Punjab Cricket Association IS Bindra Stadium,|Mohali|Kings XI Punjab won by 6 wkts|Delhi Daredevils Innings|innings_1|Chris Morris|not out|27|16|1|1
Kings XI Punjab vs Delhi Daredevils, 2nd Match - Live Cricket Score, Commentary|2018-04-08|Punjab Cricket Association IS Bindra Stadium,|Mohali|Kings XI Punjab won by 6 wkts|Delhi Daredevils Innings|innings_1|Daniel Christian|b Mohit Sharma|13|13|0|1
Kings XI Punjab vs Delhi Daredevils, 2nd Match - Live Cricket Score, Commentary|2018-04-08|Punjab Cricket Association IS Bindra Stadium,|Mohali|Kings XI Punjab won by 6 wkts|Kings XI Punjab Innings|innings_2|Lokesh Rahul (wk)|c Shami b Boult|51|16|6|4
Kings XI Punjab vs Delhi Daredevils, 2nd Match - Live Cricket Score, Commentary|2018-04-08|Punjab Cricket Association IS Bindra Stadium,|Mohali|Kings XI Punjab won by 6 wkts|Kings XI Punjab Innings|innings_2|Mayank Agarwal|c Shami b Chris Morris|7|5|0|1
Kings XI Punjab vs Delhi Daredevils, 2nd Match - Live Cricket Score, Commentary|2018-04-08|Punjab Cricket Association IS Bindra Stadium,|Mohali|Kings XI Punjab won by 6 wkts|Kings XI Punjab Innings|innings_2|Yuvraj Singh|c Vijay Shankar b Rahul Tewatia|12|22|2|0
Kings XI Punjab vs Delhi Daredevils, 2nd Match - Live Cricket Score, Commentary|2018-04-08|Punjab Cricket Association IS Bindra Stadium,|Mohali|Kings XI Punjab won by 6 wkts|Kings XI Punjab Innings|innings_2|Karun Nair|c Boult b Christian|50|33|5|2
Kings XI Punjab vs Delhi Daredevils, 2nd Match - Live Cricket Score, Commentary|2018-04-08|Punjab Cricket Association IS Bindra Stadium,|Mohali|Kings XI Punjab won by 6 wkts|Kings XI Punjab Innings|innings_2|David Miller|not out|24|23|1|0
Kings XI Punjab vs Delhi Daredevils, 2nd Match - Live Cricket Score, Commentary|2018-04-08|Punjab Cricket Association IS Bindra Stadium,|Mohali|Kings XI Punjab won by 6 wkts|Kings XI Punjab Innings|innings_2|Marcus Stoinis|not out|22|15|2|0
Kolkata Knight Riders vs Royal Challengers Bangalore, 3rd Match - Live Cricket Score, Commentary|2018-04-08|Eden Gardens,|Kolkata|Kolkata Knight Riders won by 4 wkts|Royal Challengers Bangalore Innings|innings_1|Brendon McCullum|b Narine|43|27|6|2
Kolkata Knight Riders vs Royal Challengers Bangalore, 3rd Match - Live Cricket Score, Commentary|2018-04-08|Eden Gardens,|Kolkata|Kolkata Knight Riders won by 4 wkts|Royal Challengers Bangalore Innings|innings_1|Quinton de Kock (wk)|c Vinay Kumar b Chawla|4|4|1|0
Kolkata Knight Riders vs Royal Challengers Bangalore, 3rd Match - Live Cricket Score, Commentary|2018-04-08|Eden Gardens,|Kolkata|Kolkata Knight Riders won by 4 wkts|Royal Challengers Bangalore Innings|innings_1|Virat Kohli (c)|b Nitish Rana|31|33|1|1
Kolkata Knight Riders vs Royal Challengers Bangalore, 3rd Match - Live Cricket Score, Commentary|2018-04-08|Eden Gardens,|Kolkata|Kolkata Knight Riders won by 4 wkts|Royal Challengers Bangalore Innings|innings_1|AB de Villiers|c Johnson b Nitish Rana|44|23|1|5
Kolkata Knight Riders vs Royal Challengers Bangalore, 3rd Match - Live Cricket Score, Commentary|2018-04-08|Eden Gardens,|Kolkata|Kolkata Knight Riders won by 4 wkts|Royal Challengers Bangalore Innings|innings_1|Sarfaraz Khan|c Rinku Singh b Johnson|6|10|0|0
Kolkata Knight Riders vs Royal Challengers Bangalore, 3rd Match - Live Cricket Score, Commentary|2018-04-08|Eden Gardens,|Kolkata|Kolkata Knight Riders won by 4 wkts|Royal Challengers Bangalore Innings|innings_1|Mandeep Singh|c Kuldeep Yadav b Vinay Kumar|37|18|4|2
Kolkata Knight Riders vs Royal Challengers Bangalore, 3rd Match - Live Cricket Score, Commentary|2018-04-08|Eden Gardens,|Kolkata|Kolkata Knight Riders won by 4 wkts|Royal Challengers Bangalore Innings|innings_1|Chris Woakes|c A Russell b Vinay Kumar|5|5|1|0
Kolkata Knight Riders vs Royal Challengers Bangalore, 3rd Match - Live Cricket Score, Commentary|2018-04-08|Eden Gardens,|Kolkata|Kolkata Knight Riders won by 4 wkts|Royal Challengers Bangalore Innings|innings_1|Washington Sundar|not out|0|0|0|0
Kolkata Knight Riders vs Royal Challengers Bangalore, 3rd Match - Live Cricket Score, Commentary|2018-04-08|Eden Gardens,|Kolkata|Kolkata Knight Riders won by 4 wkts|Kolkata Knight Riders Innings|innings_2|Sunil Narine|b Umesh|50|19|4|5
Kolkata Knight Riders vs Royal Challengers Bangalore, 3rd Match - Live Cricket Score, Commentary|2018-04-08|Eden Gardens,|Kolkata|Kolkata Knight Riders won by 4 wkts|Kolkata Knight Riders Innings|innings_2|Chris Lynn|c de Villiers b Chris Woakes|5|8|1|0
Kolkata Knight Riders vs Royal Challengers Bangalore, 3rd Match - Live Cricket Score, Commentary|2018-04-08|Eden Gardens,|Kolkata|Kolkata Knight Riders won by 4 wkts|Kolkata Knight Riders Innings|innings_2|Robin Uthappa|c Brendon McCullum b Umesh|13|12|0|1
Kolkata Knight Riders vs Royal Challengers Bangalore, 3rd Match - Live Cricket Score, Commentary|2018-04-08|Eden Gardens,|Kolkata|Kolkata Knight Riders won by 4 wkts|Kolkata Knight Riders Innings|innings_2|Nitish Rana|lbw b Washington Sundar|34|25|2|2
Kolkata Knight Riders vs Royal Challengers Bangalore, 3rd Match - Live Cricket Score, Commentary|2018-04-08|Eden Gardens,|Kolkata|Kolkata Knight Riders won by 4 wkts|Kolkata Knight Riders Innings|innings_2|Dinesh Karthik (c & wk)|not out|35|29|4|0
Kolkata Knight Riders vs Royal Challengers Bangalore, 3rd Match - Live Cricket Score, Commentary|2018-04-08|Eden Gardens,|Kolkata|Kolkata Knight Riders won by 4 wkts|Kolkata Knight Riders Innings|innings_2|Rinku Singh|c de Kock b Chris Woakes|6|6|1|0
